程序,,串行,"StoryBlock(21,true);",,,,,,,,,,
程序,,串行,SetUIMode(2);,,,,,,,,,,
程序,,串行,CanSkip(true);,,,,,,,,,,
程序,,串行,"SetChapter(01,边界徘徊的七等星)",,,,,,,,,,
程序,,串行,VisionTrigger(false);,,,,,,,,,,
UI,,串行,创建图片,BMI边框.png; BMI;,1.2;1.2;0;,0;0;0;0;0;,1;1;0;,,,,,,
背景,,串行,创建图片,0117A_301室的窗户.png; bg1;,1;1;0;,0;0;0;0;0;,,,,,,,
文本,,串行,旁白,1;1;0;,,301室的空屋内，草加裕介正从房间朝向东面的窗户向下俯瞰。,34,,30,,,,
BGM,,串行,B04-会议记录.mp3,循环,70;70;0;,,,,,,,,
文本,点击触发,串行,头像,1;1;0;,草加 裕介,这扇窗户下方，是公寓门前街道旁的草坪。,34,蓝_B05_A01_草加_平静.png,30,,,,
文本,点击触发,串行,头像,1;1;0;,草加 裕介,你说打伞人有没有可能，是杀完人后躲进了301室，从这扇窗子跳下去的？,34,蓝_B05_A04_草加_思考.png,30,,,,
文本,点击触发,串行,头像,1;1;0;,女警员,的确，这样就可以不被监控拍到离开公寓了。,34,蓝_D11_女警察.png,30,,,,
文本,点击触发,串行,头像,1;1;0;,女警员,但是，草加警官，这扇窗户在我们来之前一直是从内侧锁上的。,34,蓝_D11_女警察.png,30,,,,
文本,点击触发,串行,头像,1;1;0;,女警员,打伞人如果从这里翻出，是做不到在窗外锁上窗户的吧？,34,蓝_D11_女警察.png,30,,,,
文本,点击触发,串行,头像,1;1;0;,草加 裕介,你说得对，看来从301室离开的路线也是走不通的。,34,蓝_B05_A17_草加_怀疑.png,30,,,,
文本,点击触发,串行,头像,1;1;0;,男警员,草加警官，从菅田家搜出的两把伞已经鉴定完毕了。,34,蓝_D10_男警察.png,30,,,,
背景,点击触发,并行,切换图片,bg1; 0117B_302室的伞.png; 0.8;,1;1;0;,0;0;0;0;0;,,,,,,,
文本,,并行,旁白,1;1;0;,,半小时前，草加裕介在拜访302室时偶然在伞架上发现了两把一模一样的黑色长柄伞。,34,,30,,,,
文本,点击触发,串行,旁白,1;1;0;,,据菅田泉美所说，她只买过一把黑伞才对，不知什么时候又多出了一把。,34,,30,,,,
文本,点击触发,串行,头像,1;1;0;,男警员,这两把伞都是已经绝版的黑怪盗联名款式，发行于一年前。,34,蓝_D10_男警察.png,30,,,,
文本,点击触发,串行,头像,1;1;0;,男警员,其中有一把的伞身上，能够检测出菅田夫妇大量的指纹，应该是他们常用的那把伞。,34,蓝_D10_男警察.png,30,,,,
文本,点击触发,串行,头像,1;1;0;,男警员,而另一把上，只在伞柄和伞尖处检测出了少量菅田敏之的指纹，没有发现菅田泉美触碰过的痕迹。,34,蓝_D10_男警察.png,30,,,,
文本,点击触发,串行,头像,1;1;0;,草加 裕介,菅田敏之这会儿也该到家了吧？我去会会他。,34,蓝_B05_A14_草加_感兴趣.png,30,,,,
文本,点击触发,串行,旁白,1;0;0.5;,,,34,,30,,,,
背景,,串行,选中图片,bg1,1;1;0;,0;0;0;0;0;,时钟离场,,,,,,
程序,,串行,wait(0.5);,,,,,,,,,,
背景,,串行,切换图片,bg1; 0105A_鸦巢公寓三楼走廊_楼梯口_白天.png; 0;,1;1;0;,0;0;0;0;0;,时钟入场,,,,,,
文本,,并行,旁白,0;1;0.5;,,,34,,30,,,,
立绘,,并行,创建图片,D02_A02_菅田_赔笑.png; Toshiyuki;,2;2;0;,240;-1050;240;-1050;0;,0;1;0.5;,,239;228;226;,,,,
文本,,串行,旁白,1;1;0;,,在不惊动菅田泉美的情况下，草加把外出买菜刚回来的菅田敏之喊到了走廊一角。,34,,30,,,,
文本,点击触发,串行,头像,1;1;0;,草加 裕介,菅田先生，我听说，你在幸福4U株式会社上班？,34,蓝_B05_A14_草加_感兴趣.png,30,,,,
立绘,点击触发,并行,切换图片,Toshiyuki; D02_A01_菅田_平常.png; 0.2;,2;2;0;,240;-1050; 240;-1050;0;,1;1;0;,,239;228;226;,,,,
文本,,并行,台词,1;1;0;,菅田 敏之,是的。,34,,30,,,,
文本,点击触发,串行,头像,1;1;0;,草加 裕介,这家公司在2010年开发过一款名叫『『<link=028><color=#0097ff></b>虚拟哥</color></link>』的街景APP，功能类似于PC版的VIEW。我没说错吧？,34,蓝_B05_A02_草加_微笑.png,30,,,,
文本,点击触发,串行,台词,1;1;0;,菅田 敏之,没错，虚拟哥应该是我们公司历史上最成功的产品。不过早在几年前它就已经停服了。,34,,30,,,,
文本,点击触发,串行,头像,1;1;0;,草加 裕介,虽然早已停服，但你们是不是正在尝试开发适用于PIQT OS的虚拟哥？,34,蓝_B05_A02_草加_微笑.png,30,,,,
