程序,,串行,"StoryBlock(24,true);",,,,,,,,,,
程序,,串行,SetUIMode(0);,,,,,,,,,,
程序,,串行,CanSkip(true);,,,,,,,,,,
程序,,串行,"SetChapter(01,谱线蓝移的七等星)",,,,,,,,,,
程序,,串行,VisionTrigger(false);,,,,,,,,,,
背景,,串行,创建图片,0021D_竹内家_绚音房间_夜晚.png; bg1;,1;1;0;,0;0;0;0;0;,淡入,,,,,,
SE,,串行,回路启动.ogg,40,,,,,,,,,
UI,,串行,创建图片,BMI边框.png; BMI;,1.5;1.2;0.5;,0;0;0;0;0;,1;1;0;,,,,,,
文本,,串行,旁白,0;1;0.5;,,,34,,30,,,,
文本,,串行,旁白,1;1;0;,,晚上回到家，和昨天一样，我把时乃叫到了我的房间，开始进行线索整理。,34,,30,,,,
立绘,点击触发,并行,创建图片,A02_A01_阳向_冷淡.png; hinata;,2;2;0;,700;-1050; 700; -1050; 0;,0;1;1;,,240; 233; 229;,,,,
立绘,,并行,创建图片,A04_B01_时乃_微笑.png; tokino;,2;2;0;,-700;-850; -700; -850; 0;,0;1;1;,,240; 233; 229;,,,,
文本,,并行,头像,1;1;0;,竹内 绚音,刚刚的简述，都听明白了吧？,34,粉_A01_A01_绚音_平常.png,30,,,,
BGM,,串行,D04-线索分析.mp3,循环,70;70;0;,,,,,,,,
立绘,点击触发,并行,选中图片,hinata,2;2;0;,700;-1050; 700; -1050; 0;,1;0;0.2;,,240; 233; 229;,,,,
立绘,,并行,选中图片,tokino,2;2;0;,-700;-850; -700; -850; 0;,1;0;0.2;,,240; 233; 229;,,,,
立绘,,串行,切换图片,tokino; A04_B01_时乃_微笑.png; 0;,2;2;0;,0;-650; 0; -650; 0;,0;0;0;,,240; 233; 229;,,,,
立绘,,并行,选中图片,tokino,2;2;0;,0; -650; 0; -650; 0;,0;1;0.2;,,240; 233; 229;,,,,
文本,,并行,台词,1;1;0;,池田 时乃,嗯嗯。,34,,30,,,,
文本,点击触发,串行,头像,1;1;0;,竹内 绚音,那我们首先，把昨天的情报更新一下。,34,粉_A01_C08_绚音_认真聆听.png,30,,,,
立绘,点击触发,串行,选中图片,tokino,2;2;0;,0; -650; 0; -650; 0;,1;0;0.5;,,240; 233; 229;,,,,
SE,,串行,通话启动.ogg,40,,,,,,,,,
UI,,串行,创建图片,sv0140A_线索板书.png; bs;,1;1;0;,0;0;0;0;0;,1;1;0;,纵向展开; 0.7;,,,,,
背景,,串行,创建图片,bs0143.png; bg2;,3;3;0;,1920;-1080;1920;-1080;0;,,,,,,,
UI,,串行,删除图片,bs,1;1;0;,0;0;0;0;0;,1;1;0;,,,,,,
文本,,串行,头像,1;1;0;,竹内 绚音,在熊取昌二的行踪调查上，我们取得了重大进展。,34,粉_A01_A08_绚音_认真且乐观.png,30,,,,
文本,点击触发,串行,旁白,1;0;0.5;,,,34,,30,,,,
背景,,串行,切换图片,bg2; bs0144.png; 0.5;,3;3;0;,1920;-1080;1920;-1039;0.5;,,,,,,,
程序,,串行,wait(0.3);,,,,,,,,,,
背景,,串行,切换图片,bg2; bs0145.png; 0.5;,3;3;0;,1920;-1039;1920;-1039;0;,,,,,,,
背景,,串行,切换图片,bg2; bs0146.png; 0.5;,3;3;0;,1920;-1039;1920;-1039;0;,,,,,,,
背景,点击触发,串行,选中图片,bg2,3;3;0;,1920;-1039;-1630;-1039;2;,,,,,,,
背景,,串行,切换图片,bg2; bs0147.png; 0.5;,3;3;0;,1630;-1039;-1630;-1039;0;,,,,,,,
文本,点击触发,串行,旁白,0;1;0.5;,,,34,,30,,,,
文本,,串行,头像,1;1;0;,竹内 绚音,关于凶器、监控录像和犯人用过的伞，我们也打听到了重要情报。,34,粉_A01_A06_绚音_兴奋.png,30,,,,
文本,点击触发,串行,旁白,1;0;0.5;,,,34,,30,,,,
背景,,串行,选中图片,bg2,3;3;0;,-1630;-1039;-1321;1030;2;,,,,,,,
背景,,串行,切换图片,bg2; bs0148.png; 0.3;,3;3;0;,-1321;1030;-1321;1030;0;,,,,,,,
UI,,串行,创建图片,sv0140B_便签.png; bs;,0.8;0.5;0.5;,-497;7;-497;7;0;,0;1;0.5;,,,,,,
SE,,串行,图钉拍板.ogg,100,,,,,,,,,
背景,,串行,切换图片,bg2; bs0149.png; 0;,3;3;0;,-1321;1030;-1321;1030;0;,,,,,,,
UI,,串行,删除图片,bs,0.5;0.5;0;,-497;7;-497;7;0;,1;1;0;,,,,,,
背景,,串行,切换图片,bg2; bs0150.png; 0.3;,3;3;0;,-1321;1030;-1321;1030;0;,,,,,,,
背景,,串行,切换图片,bg2; bs0151.png; 0.3;,3;3;0;,-1321;1030;-1321;1030;0;,,,,,,,
背景,,串行,切换图片,bg2; bs0152.png; 0.3;,3;3;0;,-1321;1030;-1321;1030;0;,,,,,,,
背景,点击触发,串行,切换图片,bg2; bs0153.png; 0.3;,3;3;0;,-1321;1030;-614;1030;1;,,,,,,,
UI,,串行,创建图片,sv0140C_便签.png; bs;,0.8;0.5;0.5;,-285;-234;-285;-234;0;,0;1;0.5;,,,,,,
SE,,串行,图钉拍板.ogg,100,,,,,,,,,
背景,,串行,切换图片,bg2; bs0154.png; 0;,3;3;0;,-614;1030;-614;1030;0;,,,,,,,
UI,,串行,删除图片,bs,0.5;0.5;0;,-285;-234;-285;-234;0;,1;1;0;,,,,,,
背景,,串行,切换图片,bg2; bs0155.png; 0.5;,3;3;0;,-614;1030;-614;1030;0;,,,,,,,
背景,点击触发,串行,选中图片,bg2,3;3;0;,-614;1030;-1444;370;1;,,,,,,,
背景,,串行,切换图片,bg2; bs0156.png; 0.3;,3;3;0;,-1444;370;-1444;370;0;,,,,,,,
UI,,串行,创建图片,sv0140D_便签.png; bs;,0.8;0.5;0.5;,72;10;72;10;0;,0;1;0.5;,,,,,,
SE,,串行,图钉拍板.ogg,100,,,,,,,,,
背景,,串行,切换图片,bg2; bs0157.png; 0;,3;3;0;,-1444;370;-1444;370;0;,,,,,,,
UI,,串行,删除图片,bs,0.5;0.5;0;,72;10;72;10;0;,1;1;0;,,,,,,
背景,点击触发,串行,选中图片,bg2,3;3;0;,-1444;370;1920;-312;2;,,,,,,,
背景,,串行,切换图片,bg2; bs0158.png; 0.5;,3;3;0;,1920;-312;1920;-312;0;,,,,,,,
背景,,串行,选中图片,bg2,3;3;0;,1920;-312;12;-105;2;,,,,,,,
UI,,串行,创建图片,sv0140E_便签.png; bs;,0.8;0.5;0.5;,-156;-110;-156;-110;0;,0;1;0.5;,,,,,,
SE,,串行,图钉拍板.ogg,100,,,,,,,,,
背景,,串行,切换图片,bg2; bs0159.png; 0;,3;3;0;,12;-105;12;-105;0;,,,,,,,
UI,,串行,删除图片,bs,0.5;0.5;0;,-156;-110;-156;-110;0;,1;1;0;,,,,,,
背景,,串行,切换图片,bg2; bs0160.png; 0.5;,3;3;0;,12;-105;12;-105;0;,,,,,,,
背景,点击触发,串行,选中图片,bg2,3;1;2;,12;-105;0;0;2;,,,,,,,
文本,点击触发,串行,旁白,0;1;0.5;,,,34,,30,,,,
文本,,串行,头像,1;1;0;,池田 时乃,唔……好乱啊，感觉看不明白。,34,粉_A04_B05_时乃_不服气.png,30,,,,
文本,点击触发,串行,头像,1;1;0;,竹内 绚音,那就先不去看整体，从局部入手试试。,34,粉_A01_A09_绚音_认真且平常.png,30,,,,
背景,点击触发,串行,选中图片,bg2,1;3;2;,0;0;-570;1080;2;,,,,,,,
文本,,串行,旁白,1;1;0;,,时乃盯着『气枪』和『垃圾车』两个词条看了一会儿，突然一拍脑袋。,34,,30,,,,
文本,点击触发,串行,头像,1;1;0;,池田 时乃,哦！我懂了，犯人在枪击之后，把气枪拆散了从三楼扔进了垃圾车，他以为这样就可以处理掉凶器了。,34,粉_A04_B02_时乃_元气.png,30,,,,
文本,点击触发,串行,头像,1;1;0;,竹内 绚音,你才弄明白这个啊……,34,粉_A01_A21_绚音_汗颜.png,30,,,,
文本,点击触发,串行,头像,1;1;0;,竹内 绚音,我想说的是，其实从房东家的三楼阳台，也可以做到把拆散的气枪扔进停在两幢楼之间的垃圾车。,34,粉_A01_C09_绚音_认真.png,30,,,,
文本,点击触发,串行,头像,1;1;0;,佐野 阳向,确实，我们到现在还没发确定枪击地点发生在303室还是对面三楼。但警方好像很笃定犯人就是在303室内开的枪。,34,粉_A02_A03_阳向_严肃.png,30,,,,
文本,点击触发,串行,头像,1;1;0;,竹内 绚音,我觉得这就是警方疏漏了，他们被密闭的门窗和搏斗痕迹所诱导，忽视了犯人从窗外开枪的可能性。,34,粉_A01_C22_绚音_说明.png,30,,,,
文本,点击触发,串行,头像,1;1;0;,竹内 绚音,那位草加警官，怎么说呢……他的思维还是不够活跃。,34,粉_A01_A11_绚音_思考时走神.png,30,,,,
文本,点击触发,串行,头像,1;1;0;,竹内 绚音,当他顺着一条思路能走通时，往往就容易忽视其他可能性。,34,粉_A01_A10_绚音_认真且严肃.png,30,,,,
文本,点击触发,串行,头像,1;1;0;,池田 时乃,喔，姐姐好自信。,34,粉_A04_B09_时乃_疑惑.png,30,,,,
文本,点击触发,串行,头像,1;1;0;,佐野 阳向,你说的其他可能性，比如？,34,粉_A02_A01_阳向_冷淡.png,30,,,,
文本,点击触发,串行,头像,1;1;0;,竹内 绚音,比如说我就不认为菅田敏之是犯人。,34,粉_A01_A22_绚音_说明.png,30,,,,
文本,点击触发,串行,旁白,1;1;0;,,,34,,30,,,,
背景,,串行,选中图片,bg2,3;3;0;,-570;1080;-46;-236;1.6;,,,,,,,
UI,,串行,创建图片,sv0132N_便签.png; bs;,0.5;0.5;0;,506;274;506;274;0;,1;1;0;,,,,,,
背景,,串行,切换图片,bg2; bs0161.png; 0;,3;3;0;,-46;-236;-46;-236;0;,,,,,,,
UI,,串行,选中图片,bs,0.5;0.8;0.5;,506;274;506;274;0;,1;0;1;,,,,,,
UI,,串行,删除图片,bs,0.5;0.5;0;,506;274;506;274;0;,0;0;0;,,,,,,
UI,,串行,创建图片,sv0140F_便签.png; bs;,0.8;0.5;0.5;,506;199;506;199;0;,0;1;0.5;,,,,,,
SE,,串行,图钉拍板.ogg,100,,,,,,,,,
背景,,串行,切换图片,bg2; bs0162.png; 0;,3;3;0;,-46;-236;-46;-236;0;,,,,,,,
UI,,串行,删除图片,bs,0.5;0.5;0;,506;199;506;199;0;,1;1;0;,,,,,,
程序,,串行,wait(0.5);,,,,,,,,,,
文本,,串行,头像,1;1;0;,竹内 绚音,想象一下，假如你是凶手，你在案发现场精心设计了机关，目的是通过打斗声给自己制造不在场证明。那在打斗声传出的瞬间——你应该在什么地方？,34,粉_A01_A01_绚音_平常.png,30,,,,
文本,点击触发,串行,头像,1;1;0;,池田 时乃,嗯……在什么地方呢？,34,粉_A04_B09_时乃_疑惑.png,30,,,,
文本,点击触发,串行,头像,1;1;0;,竹内 绚音,至少不该一个人待在家中。菅田泉美的突击电话只是个偶然，要是没有这通电话，不就没人证明菅田敏之在自己房间了吗？,34,粉_A01_C09_绚音_认真.png,30,,,,
文本,点击触发,串行,头像,1;1;0;,竹内 绚音,菅田敏之并不知道熊取昌二什么时候会回家。对犯人来说，迟一秒触发机关对自己的计划都是有风险的，绝不可能原地等着有人给自己打电话。,34,粉_A01_C09_绚音_认真.png,30,,,,
文本,点击触发,串行,头像,1;1;0;,佐野 阳向,这点确实，视频电话用作不在场证明的效果也不理想。因为视频背景可以智能替换，并不能100%证明当事人在家。,34,粉_A02_A03_阳向_严肃.png,30,,,,
文本,点击触发,串行,头像,1;1;0;,竹内 绚音,所以，如果我是凶手，一定会在布置完机关后，立即找个能被人看见的地方遥控触发机关。这才叫“不在场证明”。,34,粉_A01_C09_绚音_认真.png,30,,,,
文本,点击触发,串行,旁白,1;1;0;,,,34,,30,,,,
背景,,串行,选中图片,bg2,3;1;2;,-46;-236;0;0;2;,,,,,,,
文本,,串行,头像,1;1;0;,池田 时乃,那……还有谁可能是凶手呢？,34,粉_A04_B10_时乃_思考.png,30,,,,
文本,点击触发,串行,旁白,1;1;0;,,,34,,30,,,,
背景,,串行,选中图片,bg2,1;3;2;,0;0;-1389;199;2;,,,,,,,
UI,,串行,创建图片,sv0132P_便签.png; bs;,0.5;0.5;0;,-57;153;-57;153;0;,1;1;0;,,,,,,
背景,,串行,切换图片,bg2; bs0163.png; 0;,3;3;0;,-1389;199;-1389;199;0;,,,,,,,
UI,,串行,选中图片,bs,0.5;0.8;0.5;,-57;153;-57;153;0;,1;0;1;,,,,,,
UI,,串行,删除图片,bs,0.5;0.5;0;,-57;153;-57;153;0;,0;0;0;,,,,,,
UI,,串行,创建图片,sv0140G_便签.png; bs;,0.8;0.5;0.5;,-57;137;-57;137;0;,0;1;0.5;,,,,,,
SE,,串行,图钉拍板.ogg,100,,,,,,,,,
背景,,串行,切换图片,bg2; bs0164.png; 0;,3;3;0;,-1389;199;-1389;199;0;,,,,,,,
UI,,串行,删除图片,bs,0.5;0.5;0;,-57;137;-57;137;0;,1;1;0;,,,,,,
程序,,串行,wait(0.5);,,,,,,,,,,
文本,,串行,头像,1;1;0;,竹内 绚音,本马秀和不可能是，吉田雪绘20时30分下楼时看见过本马秀和在物业室。,34,粉_A01_C09_绚音_认真.png,30,,,,
文本,点击触发,串行,头像,1;1;0;,竹内 绚音,之后到20时55分前监控没拍到任何人上楼，而监控已被证实不可修改。,34,粉_A01_C09_绚音_认真.png,30,,,,
文本,点击触发,串行,旁白,1;1;0;,,,34,,30,,,,
背景,,串行,选中图片,bg2,3;3;0;,-1389;199;449;574;1.4;,,,,,,,
UI,,串行,创建图片,sv0132L_便签.png; bs;,0.5;0.5;0;,31;36;31;36;0;,1;1;0;,,,,,,
背景,,串行,切换图片,bg2; bs0165.png; 0;,3;3;0;,449;574;449;574;0;,,,,,,,
UI,,串行,选中图片,bs,0.5;0.8;0.5;,31;36;31;36;0;,1;0;1;,,,,,,
UI,,串行,删除图片,bs,0.5;0.5;0;,31;36;31;36;0;,0;0;0;,,,,,,
UI,,串行,创建图片,sv0140H_便签.png; bs;,0.8;0.5;0.5;,31;75;31;75;0;,0;1;0.5;,,,,,,
SE,,串行,图钉拍板.ogg,100,,,,,,,,,
背景,,串行,切换图片,bg2; bs0166.png; 0;,3;3;0;,449;574;449;574;0;,,,,,,,
UI,,串行,删除图片,bs,0.5;0.5;0;,31;75;31;75;0;,1;1;0;,,,,,,
程序,,串行,wait(0.5);,,,,,,,,,,
文本,,串行,头像,1;1;0;,竹内 绚音,熊取昌二我拿不准。单从手法的可行性来看，他依然是最大的嫌疑人。,34,粉_A01_C11_绚音_沉思.png,30,,,,
文本,点击触发,串行,头像,1;1;0;,竹内 绚音,昨晚草加警官不是让部下把BMI的网卡给拔了吗？可能是意识到他们办案受到黑客干扰了。而卯月会最近就在网罗黑客人才。,34,粉_A01_C10_绚音_思考.png,30,,,,
文本,点击触发,串行,头像,1;1;0;,竹内 绚音,但我想不明白的是，如果熊取昌二是犯人，把尸体留在家中到底有什么意义？,34,粉_A01_C16_绚音_失神.png,30,,,,
文本,点击触发,串行,头像,1;1;0;,佐野 阳向,会不会是黑帮的派系之争，熊取昌二的仇家在设计陷害他？,34,粉_A02_A03_阳向_严肃.png,30,,,,
文本,点击触发,串行,头像,1;1;0;,竹内 绚音,不太可能，熊取昌二的嫌疑太容易证否了，如果是仇家陷害不会选在他随组织出任务的时候动手。,34,粉_A01_C10_绚音_思考.png,30,,,,
文本,点击触发,串行,头像,1;1;0;,佐野 阳向,那吉田雪绘的嫌疑如何？我想听听你的看法。,34,粉_A02_A01_阳向_冷淡.png,30,,,,
文本,点击触发,串行,旁白,1;1;0;,,,34,,30,,,,
背景,,串行,选中图片,bg2,3;3;0;,449;574;-525;634;1;,,,,,,,
UI,,串行,创建图片,sv0132O_便签.png; bs;,0.5;0.5;0;,36;115;36;115;0;,1;1;0;,,,,,,
背景,,串行,切换图片,bg2; bs0167.png; 0;,3;3;0;,-525;634;-525;634;0;,,,,,,,
UI,,串行,选中图片,bs,0.5;0.8;0.5;,36;115;36;115;0;,1;0;1;,,,,,,
UI,,串行,删除图片,bs,0.5;0.5;0;,36;115;36;115;0;,0;0;0;,,,,,,
UI,,串行,创建图片,sv0140I_便签.png; bs;,0.8;0.5;0.5;,36;94;36;94;0;,0;1;0.5;,,,,,,
SE,,串行,图钉拍板.ogg,100,,,,,,,,,
背景,,串行,切换图片,bg2; bs0168.png; 0;,3;3;0;,-525;634;-525;634;0;,,,,,,,
UI,,串行,删除图片,bs,0.5;0.5;0;,36;94;36;94;0;,1;1;0;,,,,,,
程序,,串行,wait(0.5);,,,,,,,,,,
文本,,串行,头像,1;1;0;,竹内 绚音,吉田雪绘我认为嫌疑不大。,34,粉_A01_C10_绚音_思考.png,30,,,,
背景,点击触发,并行,选中图片,bg2,3;3;0;,-525;634;-525;852;0.6;,,,,,,,
文本,,并行,头像,1;1;0;,竹内 绚音,对她最不利的证据一个是钥匙、另一个是气枪，可这把枪是因她自己提供的“有垃圾车在楼下停过”的线索才找到的。,34,粉_A01_C10_绚音_思考.png,30,,,,
文本,点击触发,并行,头像,1;1;0;,竹内 绚音,如果吉田雪绘是犯人，无论是锁上303室房门还是向警方报告楼下停过垃圾车都对她不利，她应该不会这么做。,34,粉_A01_C10_绚音_思考.png,30,,,,
文本,点击触发,并行,头像,1;1;0;,竹内 绚音,另外，从她主动替菅田敏之与警察辩论的行为来看，她是想帮警方朝纠正办案方向，这种行为不像是坏人的心态。,34,粉_A01_C01_绚音_平常.png,30,,,,
文本,点击触发,串行,头像,1;1;0;,佐野 阳向,这算不上严谨的推理，只能算感性上的相信吧？,34,粉_A02_A15_阳向_闭眼.png,30,,,,
文本,点击触发,并行,头像,1;1;0;,竹内 绚音,嗯，所以我还想到了另一种可能性，就是我昨天提到过的——公寓住户联手作案的可能性。,34,粉_A01_A08_绚音_认真且乐观.png,30,,,,
背景,点击触发,并行,选中图片,bg2,3;3;0;,-525;852;-966;-195;0.8;,,,,,,,
文本,,并行,头像,1;1;0;,竹内 绚音,比方说，吉田雪绘可以将303室钥匙交给菅田敏之，让菅田敏之约你在303室见面，见面时打开303室朝向北面的窗户。,34,粉_A01_C09_绚音_认真.png,30,,,,
背景,点击触发,并行,选中图片,bg2,3;3;0;,-966;-195;-467;1080;1;,,,,,,,
文本,,并行,头像,1;1;0;,竹内 绚音,此时吉田雪绘尚未去203室参加大学生们的派对，她在三楼阳台架枪射杀了你，然后将枪拆散扔进下方垃圾车。,34,粉_A01_C09_绚音_认真.png,30,,,,
背景,点击触发,并行,选中图片,bg2,3;3;0;,-467;1080;-966;-195;1;,,,,,,,
文本,,并行,头像,1;1;0;,竹内 绚音,菅田敏之锁好门窗，然后在室内放下扬声器，设定好时间在20时55分大声播放打斗声让邻居们听到。,34,粉_A01_C11_绚音_沉思.png,30,,,,
文本,点击触发,串行,头像,1;1;0;,竹内 绚音,借此误导警方错判作案时间，替吉田雪绘制造不在场证明。,34,粉_A01_C09_绚音_认真.png,30,,,,
背景,点击触发,并行,选中图片,bg2,3;3;0;,-966;-195;-1391;0;0.5;,,,,,,,
文本,,并行,头像,1;1;0;,竹内 绚音,之后，再引导本马秀和破门而入，回收扬声器并将钥匙归还。,34,粉_A01_C09_绚音_认真.png,30,,,,
背景,点击触发,并行,选中图片,bg2,3;1.8;1;,-1391;0;-80;105;1;,,,,,,,
文本,,并行,头像,1;1;0;,竹内 绚音,这样一来，菅田敏之和吉田雪绘就一个人获得了没有钥匙无法进出密室的证明、一个人获得了打斗发生时不在场的证明。,34,粉_A01_C08_绚音_认真聆听.png,30,,,,
文本,点击触发,串行,头像,1;1;0;,佐野 阳向,原来如此……菅田敏之犯人说和吉田雪绘犯人说的缺陷，都可以在共犯说中得到补全。这就是你说的草加警官忽略的可能性。,34,粉_A02_A02_阳向_微笑.png,30,,,,
文本,点击触发,串行,头像,1;1;0;,竹内 绚音,但共犯说也有许多解释不通的地方，比如打伞人和302室的那把黑伞是怎么回事。所以我还是觉得另有蹊跷。,34,粉_A01_C11_绚音_沉思.png,30,,,,
文本,点击触发,串行,旁白,1;1;0;,,,34,,30,,,,
背景,,并行,切换图片,bg2; 透明.png; 0.6;,1.8;1.8;0;,-80;105;-80;105;0;,,,,,,,
立绘,,并行,切换图片,hinata; A02_A01_阳向_冷淡.png;0;,2;2;0;,0;-1050;0;-1050;0;,0;0;0;,,240; 233; 229;,,,,
立绘,,并行,选中图片,hinata,2;2;0;,0;-1050;0;-1050;0;,0;1;0.5;,,240; 233; 229;,,,,
UI,,并行,创建图片,sv0141A_白板.png; wb1;,0.32;0.32;0;,640;-115;640;-115;0;,0;1;0.5;,,,,,,
文本,,串行,头像,1;1;0;,竹内 绚音,不知道你们是否有留意到，迄今为止的线索指向性都太散乱了。,34,粉_A01_A10_绚音_认真且严肃.png,30,,,,
立绘,点击触发,串行,选中图片,hinata,2;2;0;,0;-1050;0;-1050;0;,1;0;0.2;,,240; 233; 229;,,,,
立绘,,并行,切换图片,tokino; A04_B09_时乃_疑惑.png; 0;,2;2;0;,0;-650; 0; -650; 0;,0;0;0;,,240; 233; 229;,,,,
立绘,,并行,选中图片,tokino,2;2;0;,0;-650; 0; -650; 0;,0;1;0.2;,,240; 233; 229;,,,,
文本,,并行,台词,1;1;0;,池田 时乃,什么意思？,34,,30,,,,
文本,点击触发,串行,头像,1;1;0;,竹内 绚音,第一案发现场指向熊取昌二。,34,粉_A01_C11_绚音_沉思.png,30,,,,
文本,点击触发,串行,头像,1;1;0;,竹内 绚音,气枪指纹指向吉田雪绘。,34,粉_A01_C11_绚音_沉思.png,30,,,,
文本,点击触发,串行,头像,1;1;0;,竹内 绚音,伞柄指纹指向菅田敏之。,34,粉_A01_C11_绚音_沉思.png,30,,,,
文本,点击触发,串行,头像,1;1;0;,竹内 绚音,线索指向怎么会如此分散，使得这三人感觉都像是在被犯人陷害？,34,粉_A01_C10_绚音_思考.png,30,,,,
立绘,点击触发,并行,切换图片,tokino; A04_B10_时乃_思考.png; 0.2;,2;2;0;,0;-650; 0; -650; 0;,1;1;0;,,240; 233; 229;,,,,
文本,,并行,台词,1;1;0;,池田 时乃,好像……是哦。,34,,30,,,,
立绘,点击触发,串行,选中图片,tokino,2;2;0;,0; -650; 0; -650; 0;,1;0;0.2;,,240; 233; 229;,,,,
立绘,,并行,切换图片,hinata; A02_A01_阳向_冷淡.png;0;,2;2;0;,0;-1050;0;-1050;0;,0;0;0;,,240; 233; 229;,,,,
立绘,,并行,选中图片,hinata,2;2;0;,0;-1050;0;-1050;0;,0;1;0.2;,,240; 233; 229;,,,,
文本,,并行,台词,1;1;0;,佐野 阳向,说到底，警方会优先怀疑公寓内部人员，还是因为看到了打伞人的两次只进不出的监控录像。,34,,30,,,,
程序,,串行,wait(0.1);,,,,,,,,,,
UI,,串行,创建图片,sv0141B_白板.png; wb2;,0.32;0.32;0;,640;-115;640;-115;0;,1;1;0;,,,,,,
