程序,,串行,"StoryArrow(25,true);",,,,,,,,,,
程序,,串行,"StoryArrow(28,true);",,,,,,,,,,
程序,,串行,"StoryBlock(25,true);",,,,,,,,,,
程序,,串行,SetUIMode(0);,,,,,,,,,,
程序,,串行,CanSkip(true);,,,,,,,,,,
程序,,串行,"SetChapter(01,谱线蓝移的七等星)",,,,,,,,,,
程序,,串行,VisionTrigger(false);,,,,,,,,,,
背景,,并行,创建图片,0008A_青朔中学校门_白天.png; bg1;,1;1;0;,0;0;0;0;0;,淡入,,,,,,
SE,,串行,上课铃01.ogg,70,,,,,,,,,
UI,,串行,创建图片,BMI边框.png; BMI;,1.5;1.2;0.5;,0;0;0;0;0;,1;1;0;,,,,,,
文本,,串行,旁白,0;1;0.5;,,,34,,30,,,,
BGM,,并行,B06-朝雾的色彩.mp3,循环,70;70;0;,,,,,,,,
文本,,串行,旁白,1;1;0;,,一大早赶到校门口时，教学楼的上课铃都响了。,34,,30,,,,
文本,点击触发,串行,旁白,1;1;0;,,,34,,30,,,,
SE,,串行,通话启动.ogg,40,,,,,,,,,
UI,,串行,创建图片,sv0125_通话-池田时乃.png; phone;,1;1;0;,-200;0;0;0;0.5;,0;1;0.5;,,,,,,
立绘,,并行,创建图片,A04a_A01_时乃_微笑.png; tokino;,2;2;0;,0;-650;0;-650;0;,0;1;0.5;,,249;246;244;,,,,
文本,,串行,台词,1;1;0;,池田 时乃,欸？不会吧，姐姐你上学迟到啦？我们不是同时出门的吗？,34,,30,,,,
立绘,点击触发,并行,切换图片,tokino; A04a_A03_时乃_无语.png; 0.2;,2;2;0;,0;-650;0;-650;0;,1;1;0;,,249;246;244;,,,,
文本,,并行,台词,1;1;0;,池田 时乃,哦，对，姐姐不会骑自行车来着……,34,,30,,,,
文本,点击触发,串行,头像,1;1;0;,竹内 绚音,你特地打个电话来就是为了阴阳怪气我吗！？,34,粉_A01_A13_绚音_不耐烦.png,30,,,,
文本,点击触发,串行,旁白,1;1;0;,,,34,,30,,,,
立绘,,串行,选中图片,tokino,2;2;0;,0;-650;0;-650;0;,1;0;0.5;,,255;238;189;,,,,
SE,,并行,通话关闭.ogg,40,,,,,,,,,
UI,,并行,选中图片,phone,1;1;0;,0;0;-200;0;0.5;,1;0;0.5;,,,,,,
UI,,串行,删除图片,phone,1;1;0;,-200;0;-200;0;0;,0;0;0;,,,,,,
文本,,串行,旁白,1;1;0;,,我愤愤地掐断了时乃哪壶不开提哪壶的电话。,34,,30,,,,
文本,点击触发,串行,旁白,1;1;0;,,考试会在上课铃响后五分钟开始，我可不想迟到……得快点了。,34,,30,,,,
文本,点击触发,串行,旁白,1;1;0;,,我背着包一路小跑向教学楼。,34,,30,,,,
文本,点击触发,串行,旁白,1;1;0;,,,34,,30,,,,
SE,,并行,挥动.ogg,80,,,,,,,,,
背景,,并行,选中图片,bg1,1;1;0;,0;0;0;0;0;,右侧快速擦除,,,,,,
背景,,串行,选中图片,bg1,1;1;0;,0;0;0;0;0;,右侧快速擦入,,,,,,
BGM,,并行,B06-朝雾的色彩.mp3,循环,0;0;0;,,,,,,,,
SE,,并行,金属撞击声.ogg,100,,,,,,,,,
背景,,并行,选中图片,bg1,1;1;0;,0;0;0;0;0;,,抖动,,,,,
文本,,串行,旁白,1;1;0;,,结果，又撞上了别人的摩托车。,34,,30,,,,
立绘,点击触发,串行,创建图片,B02_A01_铃羽_微笑.png; Suzuha;,2;2;0;,0;-900;0;-900;0;,0;1;0.8;,,255; 255; 255;,,,,
文本,,串行,头像,1;1;0;,竹内 绚音,欸？,34,粉_A01_A04_绚音_愣住.png,30,,,,
立绘,点击触发,并行,切换图片,Suzuha; B02_A08_铃羽_疑惑.png; 0.2;,2;2;0;,0;-900;0;-900;0;,1;1;0;,,255;255;255;,,,,
文本,,并行,台词,1;1;0;,少女,你是……,34,,30,,,,
文本,点击触发,串行,头像,1;1;0;,竹内 绚音,对不起！又撞到你的车了，我不是故意的！,34,粉_A01_A04_绚音_愣住.png,30,,,,
文本,点击触发,串行,旁白,1;1;0;,,,34,,30,,,,
立绘,,串行,选中图片,Suzuha,2;2;0;,0;-900;0;-900;0;,1;0;0.5;,,255;255;255;,,,,
背景,,串行,选中图片,bg1,1;1;0;,0;0;0;0;0;,右侧擦除,,,,,,
文本,,串行,旁白,1;1;0;,,我把话一丢，也不等少女回应，就头也不回地继续冲向了教室。,34,,30,,,,
SE,点击触发,串行,急促的跑步声.ogg,100,,,,,,,,,
文本,,串行,旁白,1;0;0.5;,,,34,,30,,,,
程序,,串行,wait(0.5);,,,,,,,,,,
背景,,串行,切换图片,bg1; 0008I_青朔中学教室_白天.png; 0;,1;1;0;,0;0;0;0;0;,右侧擦入,,,,,,
BGM,,并行,B03-实验室的讨论-改.mp3,循环,70;70;0;,,,,,,,,
文本,,串行,旁白,0;1;0.5;,,,34,,30,,,,
文本,,串行,旁白,1;1;0;,,考场的教室后墙显眼地挂着一台蓝光机器，应该是信号屏蔽仪，可以用高功率的电磁干扰让一整间教室的电子设备都失去通讯功能。,34,,30,,,,
文本,点击触发,串行,旁白,1;1;0;,,虽然我刚买的高性能载波电极有滤掉干扰信号的功能，但我不会用。,34,,30,,,,
文本,点击触发,串行,旁白,1;1;0;,,考试时只好用笨办法，遇到不会的题去题库里慢慢搜了。,34,,30,,,,
文本,点击触发,串行,旁白,1;1;0;,,监考老师是个眼神不太好的老花镜大爷，但愿他不要注意到我耳朵后藏着一枚小型载波电极。,34,,30,,,,
文本,点击触发,串行,旁白,1;0;0.5;,,,34,,30,,,,
